symptom_category,symptom_name,symptom_description,medicine_name,common_name,potency,dosage,frequency,modalities_better,modalities_worse,keynote_symptoms,miasm,source_material,notes,case_description
Women's Health,Leucorrhoea – white,White milky leucorrhoea; bland; better washing; weakness,Pulsatilla nigricans,Windflower,30C,3–5 pellets,3 times daily,"Open air, motion",Warm room,Creamy or white discharge; mild temperament; weepy,Psora/Sycosis,Whole plant Pulsatilla nigricans,,
Women's Health,Fibroids,Uterine fibroids; heavy bleeding; bearing down; pain before menses,Calcarea carbonica,Oyster Shell Calcium,30C,3–5 pellets,Twice weekly,Dry weather,"Cold damp, exertion, new moon",Chilly; sweaty head; craves eggs; anxiety; slow but reliable,Psora,Middle layer oyster shell Ostrea edulis,Key: sweaty head and cold feet in adults,
Skin,Acne – pustular,Pustular acne on face; worse at puberty; worse during menses; comedones,Sulphur,Sulphur,30C,3–5 pellets,Twice weekly,Open air,"Warmth, night, washing",Tendency to skin eruptions; unhealthy skin; slow healing wounds,Psora,Sulphur element,Constitutional approach needed,
Musculoskeletal,Sprains – acute,Acute sprain; torn ligaments; worse motion; hot swollen bruised feeling,Arnica montana,Mountain Arnica,30C,3–5 pellets,Every 1–2 hrs initially,"Rest, lying down","Touch, motion, jar",Bruised sore feeling everywhere; says nothing is wrong; refuses help,Psora,Whole plant Arnica montana,First remedy in any injury,
Fever,Fever with bone pain,Fever with deep bone aching; chills up and down spine; thirst only during chill,Eupatorium perfoliatum,Boneset,30C,3–5 pellets,Every 3–4 hrs in acute,"Sweating, vomiting","Cold, 7–9 am",Aching as if bones broken; bilious vomiting; weakness,Psora,Whole plant Eupatorium perfoliatum,Flu-like bone aching,
Respiratory,Influenza,Aching bones as if broken; high fever; chills; heavy eyelids; thirst absent,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,Every 3–4 hrs,"Stimulants, sweating","Damp weather, emotion, bad news",Droopy eyes; weakness; dizziness; no thirst despite fever,Psora,Root bark Gelsemium sempervirens,Classic flu remedy; anticipatory anxiety,
Respiratory,Common Cold – profuse watery discharge,Excoriating nasal discharge; bland eye discharge; worse indoors; better open air,Allium cepa,Red Onion,30C,3–5 pellets,3–4 times daily,"Open air, cold room","Warm room, evening",Acrid nasal discharge + bland eye discharge (opposite of Euphrasia),Psora,Red onion Allium cepa,Classic hay fever remedy,
Trauma,Burns – minor,Minor burns; scalds; worse touch; vesicles; raw burning pain,Cantharis vesicatoria,Spanish Fly,30C,3–5 pellets,Every 30–60 min in acute,Cold applications,"Touch, urinating, coffee",Burning rawness; urinary symptoms; inflammation of any kind,Psora,Dried beetle Cantharis vesicatoria,,
Respiratory,Dry cough,"Hard dry teasing cough; worse talking, eating, lying down; stitching chest pain",Bryonia alba,White Bryony,30C,3–5 pellets,3 times daily,"Absolute rest, pressure on painful side","Any motion, deep breath",Every symptom worse from slightest motion; wants to lie still,Psora,Root Bryonia alba,Great dryness of all mucous membranes,
Musculoskeletal,Fibromyalgia,All-over body aching; worse cold; fatigue; sleep disturbance; tender points,Arnica montana,Mountain Arnica,200C,3–5 pellets,Twice weekly,"Rest, lying down","Touch, motion, damp cold",Bruised sore feeling; bed feels too hard; hypersensitive to touch,Psora,Whole plant Arnica montana,Constitutional treatment needed,
Mental,Grief – acute,Sudden acute grief; silent; sighing; cannot express; wants to be alone,Ignatia amara,St Ignatius Bean,30C,3–5 pellets,3 times daily or as needed,"Eating, change of position, distraction","Grief, morning coffee, tobacco, emotion",Lump in throat; contradictory symptoms; sighs; hysterical,Psora,Seeds Strychnos ignatii,Acute grief or disappointed love,
Respiratory,Influenza,Aching bones as if broken; high fever; chills; heavy eyelids; thirst absent,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,Every 3–4 hrs,"Stimulants, sweating","Damp weather, emotion, bad news",Droopy eyes; weakness; dizziness; no thirst despite fever,Psora,Root bark Gelsemium sempervirens,Classic flu remedy; anticipatory anxiety,
Musculoskeletal,Fibromyalgia,All-over body aching; worse cold; fatigue; sleep disturbance; tender points,Arnica montana,Mountain Arnica,200C,3–5 pellets,Twice weekly,"Rest, lying down","Touch, motion, damp cold",Bruised sore feeling; bed feels too hard; hypersensitive to touch,Psora,Whole plant Arnica montana,Constitutional treatment needed,
ENT,Earache – chronic otitis,Chronic ear discharge; offensive pus; worse cold drafts; very sensitive,Hepar sulphuris calcareum,Calcium Sulphide,30C,3–5 pellets,3 times daily,"Warmth, wrapping ears","Cold, draft, touch",Extreme cold and touch sensitivity; splinter-like pains; offensive pus,Psora,Calcium sulphide compound,Protects from cold at all costs,
Neurological,Anxiety with restlessness,Restless anxious; fears death; cannot stay in one place; midnight aggravation,Arsenicum album,White Arsenic,30C,3–5 pellets,3 times daily,"Warmth, warmth of bed","Midnight–2 am, cold, alone",Burning pains; thirst for sips; fastidious; fear of poverty/germs,Psora/Tubercular,White arsenic trioxide,"Tri: burning, restlessness, anxiety",
Digestive,Vomiting after eating,Vomiting immediately after eating; cannot keep anything down; nausea,Phosphorus,Phosphorus,30C,3–5 pellets,Every 2–3 hrs,"Cold drinks, cold food",Warm drinks (vomit when they become warm),Desires cold drinks which are then vomited when they become warm,Psora/Tubercular,Phosphorus element,Tall slender individuals,
ENT,Conjunctivitis – purulent,Purulent thick yellow-green discharge; worse morning; eyes stuck shut,Pulsatilla nigricans,Windflower,30C,3–5 pellets,3 times daily,"Open air, cold applications","Warm room, evening",Bland non-irritating discharge; mild disposition; weepy; thirstless,Psora/Sycosis,Whole plant Pulsatilla nigricans,,
Skin,Vitiligo,White patches on skin; loss of pigmentation; nervous system involvement,Arsenicum sulphuratum flavum,Arsenic Trisulphide,30C,3–5 pellets,Twice daily,Warmth,"Cold, night",Skin complaints with nervous symptoms; malnourishment,Psora/Syphilis,Arsenic trisulphide compound,Constitutional treatment required,
Skin,Urticaria – hives,Hives; intense itching; burning; better cold application; after shellfish or strawberries,Apis mellifica,Honey Bee,30C,3–5 pellets,Every 2–3 hrs in acute,"Cold applications, cold bathing","Heat, touch, pressure, 3 pm",Oedema; stinging burning pains; absence of thirst; jealousy,Sycosis,Honey bee Apis mellifica,Absence of thirst with heat is keynote,
Women's Health,Dysmenorrhoea – dark clotted,Painful menstruation with dark clotted blood; cutting pain; faintness,Chamomilla,Chamomile,30C,3–5 pellets,Every 30–60 min in acute,Warm wet weather,"Anger, cold, coffee, narcotics",Dark blood; extreme pain out of proportion; anger during pains,Psora,Whole plant Matricaria chamomilla,Anger makes it worse,
Neurological,Anxiety,Anticipatory anxiety; fear of exams or performance; trembling weakness,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily; 1 dose 1 hr before stressful event,"Urination, perspiration, stimulants","Emotion, bad news, anticipation",Diarrhoea before events; weak trembling; heavy eyelids; no thirst,Psora,Root bark Gelsemium sempervirens,Stage fright remedy,
Cardiovascular,Anaemia,Weakness; pallor; palpitations; dyspnoea; from blood loss or poor nutrition,Ferrum metallicum,Iron,30C,3–5 pellets,Twice daily,"Slow motion, heat","Rest, cold, eating at midnight",Pseudo-plethora (flushes easily); anaemia; hammering headache; weakness,Psora,Iron metal Fe,Flushing easily despite anaemia is keynote,
Respiratory,Whooping cough,Paroxysmal cough ends in vomiting; child stiffens and turns blue during cough,Drosera rotundifolia,Sundew,30C,3–5 pellets,Every 2–4 hrs,Open air,"Lying down, after midnight, warmth",Cough as soon as head touches pillow; barking; holds sides when coughing,Tubercular,Whole plant Drosera rotundifolia,Hahnemann's chief remedy for whooping cough,
ENT,Sore throat – fish-bone sensation,Sensation of fish-bone in throat; constant urge to swallow; worse empty swallowing,Argentum nitricum,Silver Nitrate,30C,3–5 pellets,3 times daily,"Cold, open air","Warm room, sweets, anticipation",Splinter-like pains; desire for sweets; apprehensive; hurried,Psora/Sycosis,Silver nitrate compound,Anticipatory anxiety with physical complaints,
Musculoskeletal,Backache – lumbar,"Lower back pain; worse first motion, better continued motion; worse cold damp",Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3–4 times daily,"Continued motion, heat, dry weather","Rest, first motion, cold wet",Stiffness; lame bruised feeling; restlessness,Psora,Leaves Toxicodendron radicans,Classic lumbago remedy,
Respiratory,Pleurisy,Stitching pain in chest; worse breathing and motion; must lie on painful side,Bryonia alba,White Bryony,200C,3–5 pellets,Twice daily,"Rest, lying on painful side, pressure","Motion, deep breath, 9 pm",Dryness; thirst for large quantities; irritable; wants to be left alone,Psora,Root Bryonia alba,Absolute rest is keynote,
Urinary,Enlarged prostate,Frequent urination; dribbling; must wait for stream; worse cold,Sabal serrulata,Saw Palmetto,30C,3–5 pellets,3 times daily,Warmth,"Cold, night",Enlargement of prostate and mammae; sexual debility; spermatorrhoea,Sycosis,Berries Serenoa repens,Classic BPH remedy,
Women's Health,Leucorrhoea – white,White milky leucorrhoea; bland; better washing; weakness,Pulsatilla nigricans,Windflower,30C,3–5 pellets,3 times daily,"Open air, motion",Warm room,Creamy or white discharge; mild temperament; weepy,Psora/Sycosis,Whole plant Pulsatilla nigricans,,
Paediatric,Bedwetting,Involuntary urination in sleep; first deep sleep; cold; worms,Causticum,Potassium Hydrate,30C,3–5 pellets,At bedtime,"Warmth, damp weather","Cold dry winds, clear weather",Weakness of sphincters; paralytic conditions; worse cold dry air,Syphilis,Caustic potash compound,Also for urinary incontinence in adults,
Trauma,Puncture wounds,Deep narrow puncture wounds; insect stings; nails; needles; prevents tetanus,Ledum palustre,Marsh Labrador Tea,30C,3–5 pellets,Every 2–3 hrs for 24–48 hrs,Cold applications,"Warmth, motion, night",Cold relieves; part is cold to touch; ecchymosis; black eye from blow,Psora,Whole plant Ledum palustre,Cold applications relieve is keynote,
Infections,Chickenpox,Itching vesicular eruptions; worse at night; one crop follows another,Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3 times daily,"Motion, warmth","Rest, cold, night",Intense itch; restlessness; triangular red tip of tongue,Psora,Leaves Toxicodendron radicans,Classic chickenpox remedy,
Neurological,Anxiety,Anticipatory anxiety; fear of exams or performance; trembling weakness,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily; 1 dose 1 hr before stressful event,"Urination, perspiration, stimulants","Emotion, bad news, anticipation",Diarrhoea before events; weak trembling; heavy eyelids; no thirst,Psora,Root bark Gelsemium sempervirens,Stage fright remedy,
Skin,Warts,Multiple warts; large jagged; pedunculated; cauliflower-like; on hands and face,Thuja occidentalis,Arborvitae,30C,3–5 pellets,Twice daily,"Warmth, scratching","Cold, damp, night",Fixed ideas; secretive; greasy skin; vaccination effects; genital warts,Sycosis,Leaves Thuja occidentalis,Prime sycotic remedy; anti-sycotic,
Paediatric,Growing pains,Aching in legs at night; restless; must keep moving; better motion,Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,At bedtime and if woken,"Motion, warmth","Rest, cold, first motion",Growing pains classic restless remedy,Psora,Leaves Toxicodendron radicans,,
Women's Health,PCOS,Irregular periods; acne; weight gain; hirsutism; mood changes,Natrum muriaticum,Common Salt,30C,3–5 pellets,Twice daily,"Open air, cold bathing","Heat, sun, 9–11 am",Hormonal imbalance; craves salt; maps tongue; reserved; grief aetiology,Psora,Sodium chloride NaCl,Constitutional treatment,
Mental,Anger – suppressed,Ill effects of suppressed anger; ailments from vexation; trembling with anger,Staphysagria,Stavesacre,30C,3–5 pellets,3 times daily,Open air,"Touch, indignation, loss of sleep, sexual excess",Wounded pride; very sensitive; cystitis after intercourse; styes,Psora,Seeds Delphinium staphisagria,Honeymoon cystitis; after surgery,
Paediatric,Teething – irritable infant,Extreme irritability during teething; one cheek red one pale; better carried,Chamomilla,Chamomile,30C,3–5 pellets or liquid on gums,Every 30 min during acute,"Being carried, warm wet weather","Anger, dentition, cold, night",Cannot tolerate pain; green diarrhoea; wants things then pushes away,Psora,Whole plant Matricaria chamomilla,Key: only quiet when carried,
Metabolic,Hypothyroidism,Weight gain; cold intolerance; fatigue; hair loss; constipation; mental dullness,Calcarea carbonica,Oyster Shell Calcium,30C,3–5 pellets,Twice weekly,Dry weather,"Cold, damp, exertion, new moon",Cold sweaty feet and head; craves eggs; obstinate; slow,Psora,Middle layer oyster shell Ostrea edulis,Classic hypothyroid constitution,
Musculoskeletal,Carpal tunnel syndrome,Numbness tingling hands; worse at night; worse cold; better motion,Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3 times daily,"Motion, warmth","Rest, cold, night",Stiffness on waking; restless; repetitive strain pattern,Psora,Leaves Toxicodendron radicans,Consider alongside Causticum,
Digestive,Flatulence,Excessive gas; bloated abdomen; worse after eating; cannot pass gas,Carbo vegetabilis,Vegetable Charcoal,30C,3–5 pellets,3 times daily,"Eructation, fanning, cold air","Lying down, warm room, evening",Tremendous bloating; putrid eructations; vital force low; craves fresh air,Psora,Vegetable charcoal,Almost no vital heat; craves air,
Digestive,Colic – infant,Colic with screaming; better bending double or hard pressure; worse at 4 pm,Colocynthis,Bitter Cucumber,30C,3–5 pellets,Every 30–60 min in acute,"Bending double, hard pressure, warmth","Anger, 4 pm",Agonizing cramping relieved by bending double; after anger,Psora,Pulp Citrullus colocynthis,Classic colic in irritable patients after vexation,
Paediatric,Tonsillitis – left-sided,Left-sided tonsillitis; worse after sleep; worse hot drinks; purple appearance,Lachesis muta,Bushmaster Snake,30C,3–5 pellets,3 times daily,"Cold drinks, open air","After sleep, hot drinks, touch, pressure",Left-sided; cannot bear tight collar; loquacious; jealous,Syphilis,Venom Lachesis muta snake,Wakes with pain; worse after sleep,
